Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
AWS: AWS Cloud Practitioner Essentials,4.4,138 ratings,48314,4,AWS,Computer Science,Introductory,English,12493
GTx: Computing in Python I: Fundamentals and Procedural Programming,4.7,64 ratings,252525,5,GTx,Computer Science,Introductory,English,15847
MathWorks: MATLAB Essentials,4.4,103 ratings,26244,4,MathWorks,Engineering,Introductory,English,15847
IIMBx: Accounting and Finance,4.5stars,18 ratings,170011,11,IIMBx,Business & Management,Intermediate,English,12600
IBM: Analyzing Data with Python,4.6,97 ratings,157150,5,IBM,Data Analysis & Statistics,Introductory,English,8301
UQx: Academic English: How to Write an Essay,4.7,6 ratings,57714,10,UQx,Communication,Introductory,English,9978
IBM: Visualizing Data with Python,4.5,107 ratings,70270,5,IBM,Data Analysis & Statistics,Intermediate,English,8301
HarvardX: Introduction to Family Engagement in Education,4.8,158 ratings,173334,6,HarvardX,Education & Teacher Training,Introductory,English,None
UMontrealX: Français élémentaire 1,4.2,17 ratings,18394,5,UMontrealX,Language,Introductory,Français,9978
IBM: Hardware and Operating Systems,4.7,82 ratings,11058,6,IBM,Computer Science,Introductory,English,4108
WasedaX: Steps in Japanese for Beginners1 Part1,4.5,18 ratings,125131,5,WasedaX,Language,Introductory,English,4947
TecdeMonterreyX: Liderazgo y comportamiento organizacional,4.6,5 ratings,48993,4,TecdeMonterreyX,Business & Management,Introductory,Español,15847
"SDGAcademyX: The Living Amazon: Science, Cultures and Sustainability in Practice",None,None,5641,8,SDGAcademyX,Environmental Studies,Intermediate,English,None
"DartmouthX, IMTx: C Programming: Getting Started",4.8,17 ratings,182339,5,DartmouthX,Computer Science,Introductory,English,8301
UBCx: Introduction to Marketing,4.7,21 ratings,239384,6,UBCx,Business & Management,Introductory,English,12577
edX: How to Use ChatGPT in Education,4.3stars,95 ratings,11045,1,edX,Computer Science,Intermediate,English,1680
"IBM: Big Data, Hadoop, and Spark Basics",4.5stars,40 ratings,14630,6,IBM,Computer Science,Introductory,English,8316
IUx: Introduction to Personal Financial Planning,4.4,27 ratings,29502,4,IUx,Economics & Finance,Introductory,English,16685
"UMD, USMx: Product Management Fundamentals",4.3,50 ratings,69413,4,UMD,Business & Management,Introductory,English,20878
EC-Council: Ethical Hacking Essentials (EHE),4.6,41 ratings,18186,1,EC-Council,Computer Science,Intermediate,English,10816
IBM: Soft Skills: Develop Interpersonal Skills,4.3stars,51 ratings,6405,1,IBM,Communication,Introductory,English,2436
StanfordOnline: Databases: Advanced Topics in SQL,4.4,7 ratings,41677,2,StanfordOnline,Computer Science,Introductory,English,5785
HarvardX: Energy and Thermodynamics,4.3stars,16 ratings,25419,10,HarvardX,Chemistry,Introductory,English,20916
DelftX: Pre-University Calculus,4.3,15 ratings,146214,8,DelftX,Math,Introductory,English,4192
LinuxFoundationX: Introduction to Cloud Infrastructure Technologies,4.5,17 ratings,130351,14,LinuxFoundationX,Computer Science,Introductory,English,15847
ArmEducationX: Machine Learning at the Edge on Arm: A Practical Introduction,4.6,150 ratings,7831,6,ArmEducationX,Computer Science,Intermediate,English,8301
HarvardX: CS50's Introduction to Programming with R,None,None,6482,7,HarvardX,Computer Science,Introductory,English,25116
StanfordOnline: Statistical Learning with R,4.4,41 ratings,95380,11,StanfordOnline,Data Analysis & Statistics,Introductory,English,15847
GTx: Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics,4.2,30 ratings,34355,6,GTx,Computer Science,Introductory,English,20878
TEFLx: 50-hour English Language Teaching Methodology,4.0stars,7 ratings,9105,10,TEFLx,Education & Teacher Training,Intermediate,English,25116
WageningenX: Nutrition and Health: Micronutrients and Malnutrition,4.8,51 ratings,98468,7,WageningenX,Biology & Life Sciences,Intermediate,English,20878
HarvardX: Child Protection: Children's Rights in Theory and Practice,4.8,91 ratings,33707,16,HarvardX,Social Sciences,Introductory,English,12493
"UMD, USMx: Project Management Principles",4.5,53 ratings,12945,5,UMD,Business & Management,Introductory,English,9978
IBM: Visualizing Data with R,4.6,124 ratings,8046,4,IBM,Data Analysis & Statistics,Introductory,English,8301
"HarvardX: U.S. Public Policy: Social, Economic, and Foreign Policies",4.8,67 ratings,84361,4,HarvardX,Social Sciences,Introductory,English,12493
MITx: Genetics: The Fundamentals,None,None,16680,7,MITx,Biology & Life Sciences,Advanced,English,8316
UniversityofCambridge: Financial accounting and capital markets,4.7,27 ratings,21886,5,UniversityofCambridge,Economics & Finance,Intermediate,English,25070
HarvardX: Fat Chance: Probability from the Ground Up,4.6,48 ratings,104478,7,HarvardX,Math,Introductory,English,12493
edX: AI Applications and Prompt Engineering,4.2stars,25 ratings,9503,1,edX,Computer Science,Introductory,English,8316
UPValenciaX: Introduction to the Internet of Things,4.4,74 ratings,17912,6,UPValenciaX,Electronics,Introductory,English,3270
FullbridgeX: Self-Assessment – Developing Your Strengths,4.4,137 ratings,27697,3,FullbridgeX,Business & Management,Introductory,English,None
HarvardX: Fundamentals of TinyML,4.5,55 ratings,63172,5,HarvardX,Data Analysis & Statistics,Introductory,English,25070
StellenboschX: Introduction to Human Resources (HR) leadership and HR management strategies,4.6,114 ratings,15857,2,StellenboschX,Business & Management,Intermediate,English,12493
"HarvardX: Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",4.7,73 ratings,137331,10,HarvardX,Medicine,Introductory,English,18362
IBM: Back-end Application Development with Node.js and Express,4.2,79 ratings,37233,3,IBM,Computer Science,Intermediate,English,4108
DoaneX: Fundamentals of Psychology,4.6,72 ratings,34780,8,DoaneX,Social Sciences,Introductory,English,9978
IIMBx: Digital Marketing Strategy,4.5stars,29 ratings,11580,6,IIMBx,Business & Management,Intermediate,English,15876
SDGAcademyX: Measuring Sustainable Development,4.3,74 ratings,22886,5,SDGAcademyX,Data Analysis & Statistics,Intermediate,English,None
AWS: AWS Cloud Technical Essentials,4.5,37 ratings,24364,4,AWS,Computer Science,Introductory,English,15847
Wharton: Business Strategy from Wharton: Competitive Advantage,4.7,121 ratings,72406,6,Wharton,Business & Management,Intermediate,English,16685
IBM: NoSQL Database Basics,4.4,63 ratings,8947,5,IBM,Computer Science,Introductory,English,8301
"HarvardX: Religion, Conflict and Peace",4.8,81 ratings,125483,8,HarvardX,Humanities,Introductory,English,12493
DoaneX: Medical Terminology,4.5,51 ratings,77601,8,DoaneX,Biology & Life Sciences,Introductory,English,9978
"StanfordOnline: Algorithms: Design and Analysis, Part 1",4.7stars,13 ratings,78450,6,StanfordOnline,Computer Science,Intermediate,English,15876
HarvardX: Electrochemistry,4.4,13 ratings,16109,10,HarvardX,Chemistry,Introductory,English,20878
ArmEducationX: Introduction to Microprocessors,4.4,105 ratings,7013,5,ArmEducationX,Computer Science,Introductory,English,4108
HarvardX: Innovating in Health Care,4.5,55 ratings,104313,9,HarvardX,Business & Management,Intermediate,English,20878
HP: A Complete Guide to Game Design,4.5stars,75 ratings,7759,4,HP,Computer Science,Introductory,English,420
RITx: Teamwork & Collaboration,4.5,41 ratings,18143,3,RITx,Communication,Introductory,English,16685
HarvardX: Data Science: Productivity Tools,4.3,32 ratings,103193,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
"HarvardX: Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",4.8,42 ratings,115547,8,HarvardX,Medicine,Introductory,English,25070
HarvardX: High-Dimensional Data Analysis,4.4,11 ratings,125111,4,HarvardX,Data Analysis & Statistics,Advanced,English,18362
HarvardX: Christianity Through Its Scriptures,4.6stars,46 ratings,162067,4,HarvardX,Humanities,Introductory,English,12516
NUS: Quantitative and Qualitative Research for Beginners,4.5,51 ratings,23594,8,NUS,Social Sciences,Introductory,English,8301
MandarinX: Mandarin Chinese Level 1,4.6,14 ratings,110461,6,MandarinX,Language,Introductory,English,15847
AnahuacX: Comunicación y Pronunciación en Inglés,4.7,9 ratings,44576,4,AnahuacX,Language,Introductory,Español,3270
HarvardX: Quantitative Methods for Biology,4.7stars,15 ratings,64746,10,HarvardX,Computer Science,Introductory,English,18396
UAMx: Introducción a la Ingeniería del Software,4.6,13 ratings,47231,5,UAMx,Computer Science,Introductory,Español,2432
RITx: Public Speaking,4.5,32 ratings,51512,3,RITx,Communication,Introductory,English,16685
HarvardX: Masterpieces of World Literature,4.7,44 ratings,152374,12,HarvardX,Literature,Introductory,English,25070
UPValenciaX: Introducción a Power BI para los negocios,4.2,39 ratings,32016,4,UPValenciaX,Data Analysis & Statistics,Introductory,Español,3270
W3Cx: HTML5 Apps and Games,4.3,86 ratings,98892,4,W3Cx,Computer Science,Advanced,English,16685
HarvardX: Data Science: Linear Regression,4.1stars,23 ratings,111330,8,HarvardX,Data Analysis & Statistics,Introductory,English,12516
HarvardX: Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,4.7,56 ratings,152177,10,HarvardX,Education & Teacher Training,Intermediate,English,None
UPValenciaX: Python: aprender a programar,4.2,34 ratings,100216,8,UPValenciaX,Computer Science,Introductory,Español,3773
QUx: Arabic for non-Arabic Speakers,4.3,87 ratings,39538,5,QUx,Language,Introductory,English,3270
HarvardX: Improving Your Business Through a Culture of Health,4.8stars,16 ratings,88224,9,HarvardX,Business & Management,Introductory,English,18396
AlaskaX: The Craft of Storytelling,4.2,7 ratings,13415,4,AlaskaX,Communication,Introductory,English,9978
IIMBx: Operations Management,4.4,67 ratings,174428,7,IIMBx,Business & Management,Intermediate,English,12577
"UMD, USMx: Applied Scrum for Agile Project Management",4.4,139 ratings,110981,4,UMD,Engineering,Advanced,English,20878
BerkeleyX: Empathy and Emotional Intelligence at Work,4.5stars,56 ratings,89164,4,BerkeleyX,Business & Management,Introductory,English,16716
CurtinX: IoT Sensors and Devices,4.2,18 ratings,48389,5,CurtinX,Computer Science,Introductory,English,16685
UBCx: Business Foundations,4.7stars,24 ratings,102246,6,UBCx,Business & Management,Introductory,English,12600
URosarioX: Fundamentos de anatomía y técnica quirúrgica básica,4.6,7 ratings,48152,4,URosarioX,Medicine,Introductory,Español,1593
IIMBx: Corporate Finance,4.6,31 ratings,92107,5,IIMBx,Business & Management,Intermediate,English,12577
DelftX: Calculus I: From Functions to Differential Equations,4.5,16 ratings,10843,6,DelftX,Math,Intermediate,English,12493
IBM: Data Engineering Basics for Everyone,4.7,23 ratings,23449,4,IBM,Data Analysis & Statistics,Introductory,English,8301
BerkeleyX: Psychedelics and the Mind,4.8,56 ratings,10223,10,BerkeleyX,Science,Introductory,English,7965
UBCx: Excel for Everyone: Data Analysis Fundamentals,4.6,18 ratings,39161,6,UBCx,Data Analysis & Statistics,Intermediate,English,15847
MITx: Circuits and Electronics 3: Applications,4.5,11 ratings,21012,7,MITx,Electronics,Intermediate,English,15847
UPValenciaX: Upper-Intermediate English: Business and Industry,4.5stars,49 ratings,146020,4,UPValenciaX,Language,Intermediate,English,3276
IBM: Basic Network and Database Security,4.6,26 ratings,14402,4,IBM,Computer Science,Introductory,English,12493
UniversityofCambridge: Learning and memory in the brain: a guide for teachers,4.8stars,23 ratings,11687,5,UniversityofCambridge,Education & Teacher Training,Introductory,English,18396
GalileoX: Análisis estadístico con Excel,None,None,52735,4,GalileoX,Data Analysis & Statistics,Introductory,Español,3270
BerkleeX: Introduction To Music Theory,4.5,37 ratings,117508,6,BerkleeX,Humanities,Introductory,English,4947
HarvardX: Ciencia de Datos: Fundamentos de R,None,None,7293,4,HarvardX,Data Analysis & Statistics,Introductory,Español,9996
UCSanDiegoX: Python for Data Science,3.9,24 ratings,327985,10,UCSanDiegoX,Data Analysis & Statistics,Advanced,English,29346
HarvardX: Improving Global Health: Focusing on Quality and Safety,4.6,94 ratings,165505,10,HarvardX,Social Sciences,Intermediate,English,12493
DavidsonX: Introduction to SQL,4.5stars,33 ratings,23807,4,DavidsonX,Data Analysis & Statistics,Introductory,English,20916
WellesleyX: Italian Language and Culture: Intermediate (2023-2024),4.6,55 ratings,71279,12,WellesleyX,Language,Intermediate,Italiano,4947
RICEx: Topics in AP Physics,4.4,17 ratings,73860,18,RICEx,Physics,Introductory,English,4108
IBM: AI Chatbots without Programming,4.3,41 ratings,56682,2,IBM,Computer Science,Introductory,English,8301
TecdeMonterreyX: Información financiera y su análisis,4.7,12 ratings,30057,4,TecdeMonterreyX,Economics & Finance,Advanced,Español,4947
IDBx: Gestión de proyectos de desarrollo,4.7,105 ratings,361214,10,IDBx,Business & Management,Introductory,Español,4108
NYIF: Trading - Fundamentals of Technical Analysis,4.8,10 ratings,67888,6,NYIF,Economics & Finance,Introductory,English,16685
LCIEducation: Introduction to Illustrator,None,None,None,4,LCIEducation,Design,Introductory,English,8301
HarvardX: Data Science: Wrangling,4.4,24 ratings,97033,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
edX: Math for Machine Learning with Python,4.4,11 ratings,None,6,edX,Math,Intermediate,English,8301
