Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 Statistics and R,4.1,62,467610,4,HarvardX,Data Analysis & Statistics,Intermediate,English,18362
 Circuits and Electronics 1: Basic Circuit Analysis,4.6,22,139776,5,MITx,Electronics,Introductory,English,15847
 Calculus Applied!,4.8,29,156634,10,HarvardX,Math,Intermediate,English,
 Digital Marketing Strategy,4.5,70,117348,8,EdinburghX,Business & Management,Intermediate,English,12493
 Foundations of Finance,4.5,54,72611,5,UniversityofCambridge,Economics & Finance,Introductory,English,25116
 Introduction to Data Science,4.5,222,163778,6,IBM,Data Analysis & Statistics,Introductory,English,8301
 Databases: Relational Databases and SQL,4.4,35,119828,2,StanfordOnline,Computer Science,Introductory,English,5785
 Statistical Learning with Python,4.6,9,17072,11,StanfordOnline,Data Analysis & Statistics,Introductory,English,15595
 The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,4.7,53,132922,13,HarvardX,Philosophy & Ethics,Introductory,English,12493
 Data Science: Visualization,4.4,92,287567,8,HarvardX,Data Analysis & Statistics,Introductory,English,18362
 Introduction to Probability,4.3,38,188610,10,HarvardX,Data Analysis & Statistics,Intermediate,English,17524
 Leaders of Learning,4.6,309,367670,10,HarvardX,Communication,Introductory,English,17524
 Introduction to Biology - The Secret of Life,,,232944,16,MITx,Biology & Life Sciences,Introductory,English,12600
 Cell Biology: Mitochondria,4.7,161,137202,4,HarvardX,Biology & Life Sciences,Introductory,English,12493
 Java Programming Fundamentals,4.4,104,40328,5,GalileoX,Engineering,Intermediate,English,3270
 A Hands-on Introduction to Engineering Simulations,4.8,24,294331,6,CornellX,Engineering,Intermediate,English,16685
 HTML5 and CSS Fundamentals,4.5,122,414758,6,W3Cx,Computer Science,Introductory,English,20916
 Upper-Intermediate English: Business and Modern Life,4.6,63,157924,4,UPValenciaX,Language,Intermediate,English,3270
 Technology Entrepreneurship: Lab to Market,4.5,95,144789,5,HarvardX,Business & Management,Introductory,English,12516
 Critical Thinking & Problem Solving,4.5,134,51591,3,RITx,Communication,Introductory,English,16685
 Software Engineering Basics for Everyone,4.6,69,28482,6,IBM,Computer Science,Introductory,English,8301
 Programming for Everybody (Getting Started with Python),4.7,141,581247,7,MichiganX,Computer Science,Introductory,English,4956
 Communication Skills and Teamwork,4.5,322,31711,3,FullbridgeX,Business & Management,Introductory,English,
 Introduction to Corporate Finance,4.5,57,180233,4,ColumbiaX,Business & Management,Introductory,English,18865
 Intro to Stock Trading,3.9,38,31367,3,NYIF,Economics & Finance,Introductory,English,8301
 Prompt Engineering and Advanced ChatGPT,4.2,142,27916,1,edX,Computer Science,Intermediate,English,3354
 Inglés básico: conversacional y networking,4.3,48,298425,4,AnahuacX,Business & Management,Introductory,Spanish,3270
 Introduction to Machine Learning and AI,4.5,144,13839,4,RaspberryPiFoundation,Education & Teacher Training,Introductory,English,4947
 Using Python for Research,4.1,48,346823,12,HarvardX,Computer Science,Intermediate,English,20916
 Build Your First Internet of Things (IoT) Application on Arm,4.4,213,13267,7,ArmEducationX,Computer Science,Intermediate,English,8301
 Excel: Fundamentos y herramientas,4.6,49,438587,8,UPValenciaX,Computer Science,Introductory,Spanish,3270
 Introduction to SQL,4.5,64,45709,5,IBM,Computer Science,Introductory,English,8316
 Problem Solving and Critical Thinking Skills,4.5,218,32487,3,FullbridgeX,Business & Management,Introductory,English,
 Python Programming: Basic Skills,4.4,70,11163,5,Codio,Computer Science,Introductory,English,15847
 The Psychology of Emotions: An Introduction to Embodied Cognition,4.4,54,42657,5,UniversityofCambridge,Biology & Life Sciences,Intermediate,English,25070
 Introduction to Project Management,4.4,248,510236,6,AdelaideX,Business & Management,Introductory,English,20878
 Excel for Everyone: Core Foundations,4.6,43,185043,6,UBCx,Data Analysis & Statistics,Introductory,English,15847
 Data Science: Inference and Modeling,4.3,39,136813,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
 Data Science: Probability,4.3,47,205869,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
" PredictionX: Omens, Oracles & Prophecies",4.8,56,175526,1,HarvardX,Social Sciences,Introductory,English,
 SOLIDWORKS CAD Fundamentals,4.5,73,29342,5,SOLIDWORKS,Design,Introductory,English,8301
 Introduction to Generative AI,4.4,73,9503,3,IBM,Computer Science,Introductory,English,4108
 R Programming Basics for Data Science,4.5,262,19379,5,IBM,Data Analysis & Statistics,Introductory,English,8316
 Introduction to the Internet of Things (IoT),4.4,92,119876,6,CurtinX,Computer Science,Introductory,English,12493
" Fundamentals of Neuroscience, Part 3: The Brain",4.9,42,128447,8,HarvardX,Biology & Life Sciences,Introductory,English,20878
 Developing Front End Apps with React,4.5,116,18566,4,IBM,Computer Science,Intermediate,English,2016
 Food Fermentation: The Science of Cooking with Microbes,4.7,71,66524,14,HarvardX,Biology & Life Sciences,Introductory,English,20878
 C++ Programming: Basic Skills,4.5,37,21310,5,Codio,Computer Science,Introductory,English,15847
 Leadership: Creating Public Value,4.6,38,53633,7,HarvardX,Social Sciences,Introductory,English,17524
 Introduction to Cognitive Psychology and Neuropsychology,4.4,23,15731,5,UniversityofCambridge,Biology & Life Sciences,Introductory,English,25070
 Graphic Design Essentials,4.1,7,9119,4,LCIEducation,Design,Introductory,English,8301
 PredictionX: Lost Without Longitude,4.7,34,51423,1,HarvardX,History,Introductory,English,
 Mental Health and Nutrition,4.7,127,80530,8,UCx,Food & Nutrition,Introductory,English,15876
 Data Science and Machine Learning Capstone Project,4.4,127,37220,6,IBM,Data Analysis & Statistics,Intermediate,English,12493
 Marketing digital en redes sociales,4.3,36,46068,3,UPValenciaX,Business & Management,Introductory,Spanish,3773
 Analyzing Data with R,4.5,167,11085,6,IBM,Data Analysis & Statistics,Introductory,English,8316
 Early Childhood Development: Global Strategies for Implementation,4.8,155,74466,7,HarvardX,Education & Teacher Training,Introductory,English,12493
 Principles of Biochemistry,4.6,42,386139,15,HarvardX,Medicine,Intermediate,English,25070
" Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues",4.7,15,37922,5,GTx,Computer Science,Intermediate,English,15847
 DevOps Basics for Everyone,4.5,77,15728,3,IBM,Computer Science,Introductory,English,8301
 SQL for Data Science,4.2,69,119098,4,IBM,Data Analysis & Statistics,Introductory,English,8316
" Resume, Networking, and Interview Skills",4.4,120,72912,3,FullbridgeX,Business & Management,Introductory,English,
 Quantum Mechanics for Scientists and Engineers 1,4.5,29,34204,9,StanfordOnline,Engineering,Introductory,English,13331
" Nutrition, Exercise and Sports",4.5,29,120885,6,WageningenX,Food & Nutrition,Intermediate,English,17556
 Full Stack Application Development Project,4.3,54,29646,2,IBM,Computer Science,Intermediate,English,8301
 Beginners Guide to Cybersecurity,4.5,61,17132,4,IBM,Computer Science,Introductory,English,4116
 Pyramids of Giza: Ancient Egyptian Art and Archaeology,,,23899,8,HarvardX,Art & Culture,Introductory,English,18362
 Java Programming: Basic Skills,4.6,26,10184,5,Codio,Computer Science,Introductory,English,15847
 Embedded Systems Essentials with Arm: Getting Started,4.4,68,32170,6,ArmEducationX,Computer Science,Intermediate,English,8301
 AWS Cloud Practitioner Essentials,4.4,138,48314,4,AWS,Computer Science,Introductory,English,12493
 Computing in Python I: Fundamentals and Procedural Programming,4.7,64,252525,5,GTx,Computer Science,Introductory,English,15847
 MATLAB Essentials,4.4,103,26244,4,MathWorks,Engineering,Introductory,English,15847
 Accounting and Finance,4.5,18,170011,11,IIMBx,Business & Management,Intermediate,English,12600
 Analyzing Data with Python,4.6,97,157150,5,IBM,Data Analysis & Statistics,Introductory,English,8301
 Academic English: How to Write an Essay,4.7,6,57714,10,UQx,Communication,Introductory,English,9978
 Visualizing Data with Python,4.5,107,70270,5,IBM,Data Analysis & Statistics,Intermediate,English,8301
 Introduction to Family Engagement in Education,4.8,158,173334,6,HarvardX,Education & Teacher Training,Introductory,English,
 Français élémentaire 1,4.2,17,18394,5,UMontrealX,Language,Introductory,French,9978
 Hardware and Operating Systems,4.7,82,11058,6,IBM,Computer Science,Introductory,English,4108
 Steps in Japanese for Beginners1 Part1,4.5,18,125131,5,WasedaX,Language,Introductory,English,4947
 Liderazgo y comportamiento organizacional,4.6,5,48993,4,TecdeMonterreyX,Business & Management,Introductory,Spanish,15847
" The Living Amazon: Science, Cultures and Sustainability in Practice",,,5641,8,SDGAcademyX,Environmental Studies,Intermediate,English,
 C Programming: Getting Started,4.8,17,182339,5,DartmouthX,Computer Science,Introductory,English,8301
 Introduction to Marketing,4.7,21,239384,6,UBCx,Business & Management,Introductory,English,12577
 How to Use ChatGPT in Education,4.3,95,11045,1,edX,Computer Science,Intermediate,English,1680
" Big Data, Hadoop, and Spark Basics",4.5,40,14630,6,IBM,Computer Science,Introductory,English,8316
