Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 Linux Commands & Shell Scripting,4.4,33,19351,1,IBM,Computer Science,Introductory,English,2432
 Buddhism Through Its Scriptures,4.7,25,214430,4,HarvardX,Humanities,Introductory,English,12493
 Humanitarian Response to Conflict and Disaster,4.7,106,154839,5,HarvardX,Health & Safety,Introductory,English,12516
 Nutrition and Health: Macronutrients and Overnutrition,4.5,55,235852,9,WageningenX,Biology & Life Sciences,Introductory,English,20878
 Japanese Architecture and Structural Design,4.5,24,20682,5,TokyoTechX,Architecture,Intermediate,English,6624
 Business Communications,4.8,13,93763,6,UBCx,Business & Management,Introductory,English,12600
" Justice Today: Money, Markets, and Morals",4.8,25,39837,8,HarvardX,Humanities,Introductory,English,12493
 Gestión ágil de proyectos,4.3,38,25487,5,JaverianaX,Business & Management,Intermediate,Spanish,3773
 Programming 101: An Introduction to Python for Educators,4.6,20,,4,RaspberryPiFoundation,Education & Teacher Training,Introductory,English,4947
 Linear Algebra I: Linear Equations,4.2,25,28805,3,GTx,Math,Intermediate,English,20916
 People Management with Impact,4.7,40,160518,6,IIMBx,Business & Management,Introductory,English,12577
 From Poverty to Prosperity: Understanding Economic Development,4.8,90,133002,6,OxfordX,Social Sciences,Intermediate,English,20878
 Cybersecurity Fundamentals,4,29,208064,8,RITx,Computer Science,Advanced,English,33516
 Introduction to Blockchain and Web3,4.2,21,11644,6,Web3x,Computer Science,Introductory,English,4947
 30-hour Grammar and Language Awareness,4.8,21,,10,TEFLx,Education & Teacher Training,Intermediate,English,14170
 Introduction to Marketing,4.5,39,100646,6,EdinburghX,Business & Management,Introductory,English,12516
 Getting Started with Data Analytics on AWS,4.4,10,11642,1,AWS,Data Analysis & Statistics,Introductory,English,4947
 Super-Earths and Life,4.7,48,145210,15,HarvardX,Physics,Introductory,English,12493
 Django Application Development with SQL and Databases,4.6,26,11947,2,IBM,Computer Science,Intermediate,English,4108
 CSS Basics,4.3,41,126812,5,W3Cx,Computer Science,Introductory,English,20916
 Climate Change: Carbon Capture and Storage,4.7,122,34650,5,EdinburghX,Engineering,Introductory,English,4947
 Introducción a Linux,4.6,18,30015,14,LinuxFoundationX,Computer Science,Introductory,Spanish,5785
" Circuits and Electronics 2: Amplification, Speed, and Delay",4.5,15,24818,5,MITx,Electronics,Intermediate,English,15847
 Analytics for Decision Making,4.3,22,42055,4,BabsonX,Business & Management,Introductory,English,25908
 Modern Masterpieces of World Literature,4.9,27,84665,8,HarvardX,Literature,Introductory,English,17556
 Marketing digital y sus análisis basado en datos,,,8738,4,TecdeMonterreyX,Business & Management,Intermediate,Spanish,8301
 Python for AI & Development Project,4.5,23,12633,1,IBM,Data Analysis & Statistics,Intermediate,English,2432
 Basic Spanish 2: One Step Further,4.5,42,102871,4,UPValenciaX,Language,Introductory,English,3270
 Embedded Systems Essentials with Arm: Get Practical with Hardware,4.6,28,11764,10,ArmEducationX,Computer Science,Intermediate,English,8301
 Machine Learning Fundamentals,4.1,14,99858,10,UCSanDiegoX,Data Analysis & Statistics,Advanced,English,29400
 Introducción a la Ciencia de Datos y el Big Data,4.3,28,50502,4,TecdeMonterreyX,Data Analysis & Statistics,Intermediate,Spanish,4947
" Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",4.7,77,100501,10,HarvardX,Humanities,Introductory,English,5796
 Introduction to Social-Emotional Learning (SEL),4.3,120,6809,6,UCR,Education & Teacher Training,Introductory,English,4947
 Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),4.6,19,94782,16,HarvardX,Physics,Introductory,English,20878
 Habilidades de negociación y comunicación efectiva,4.8,5,45320,4,TecdeMonterreyX,Business & Management,Introductory,Spanish,15847
 Google AI for JavaScript developers with TensorFlow.js,4.7,24,18876,7,Google,Computer Science,Introductory,English,25070
 Financial Markets and Products,4.3,39,,5,State-Bank-of-India,Economics & Finance,Introductory,English,12493
 Robotics Foundations I - Robot Modeling,4.4,16,26302,8,FedericaX,Engineering,Intermediate,English,4620
 Introduction to Cybersecurity,4.6,24,127370,6,UWashingtonX,Computer Science,Introductory,English,20878
 Hello (Real) World with ROS – Robot Operating System,4.2,9,36500,7,DelftX,Engineering,Intermediate,English,11655
 Introduction to Aerospace Structures and Materials,4.6,29,61961,8,DelftX,Engineering,Introductory,English,11676
 Excel: gestión de datos,4.3,18,161288,6,UPValenciaX,Computer Science,Intermediate,Spanish,5785
 L'Italiano nel mondo,,,9711,10,FedericaX,Literature,Introductory,Italian,4612
 Nutrition and Health: Human Microbiome,4.3,31,66759,6,WageningenX,Health & Safety,Introductory,English,17556
" CitiesX: The Past, Present and Future of Urban Life",4.6,46,113270,11,HarvardX,Social Sciences,Introductory,English,20878
" Product Design, Prototyping, and Testing",4.4,51,35673,4,UMD,Business & Management,Introductory,English,20878
 Forensic Science: DNA Analysis,4.7,27,15504,5,UniversityofCambridge,Biology & Life Sciences,Introductory,English,25070
 Introduction to Quantum Computing for Everyone,4,30,20356,5,UChicagoX,Computer Science,Introductory,English,16716
 Introduction to Animal Behaviour,4.5,33,59582,6,WageningenX,Biology & Life Sciences,Introductory,English,17524
 Introduction to DevOps and Site Reliability Engineering,3.9,23,38241,10,LinuxFoundationX,Computer Science,Introductory,English,17524
 Data Analytics for Business,3.1,10,55975,16,GTx,Business & Management,Advanced,English,69173
 Project Management for Development,4.5,77,86136,10,IDBx,Business & Management,Intermediate,English,4108
 Positive Psychology,4.7,28,5501,8,APA,Social Sciences,Introductory,English,10816
 Strategic Management,4.4,37,101230,5,IIMBx,Business & Management,Introductory,English,12600
 Collaborative Data Science for Healthcare,,,16038,12,MITx,Data Analysis & Statistics,Advanced,English,4108
 Git and GitHub Basics,4.1,22,6960,3,IBM,Computer Science,Introductory,English,8301
 United States Health Policy,4.8,17,41674,10,HarvardX,Social Sciences,Introductory,English,15847
 Probability and Statistics I:  A Gentle Introduction to Probability,4.5,10,22379,3,GTx,Data Analysis & Statistics,Intermediate,English,20878
" A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",4.2,12,9602,7,ImperialX,Math,Intermediate,English,5796
 Causal Diagrams: Draw Your Assumptions Before Your Conclusions,4.9,16,83872,9,HarvardX,Data Analysis & Statistics,Introductory,English,12493
 Backyard Meteorology: The Science of Weather,4.7,44,102050,6,HarvardX,Science,Introductory,English,12493
 Essential Human Biology: Cells and Tissues,4.6,57,88347,5,AdelaideX,Medicine,Introductory,English,14196
 Entrepreneurship For All (Part I): The UC Berkeley Startup Guide for students by Silicon Valley Insiders,4.9,9,8874,6,BerkeleyX,Business & Management,Intermediate,English,16685
 Introduction to Linear Models and Matrix Algebra,4.7,11,118583,4,HarvardX,Math,Intermediate,English,18362
 Gestión de personas: Recursos Humanos,4.7,9,44944,5,UNCordobaX,Business & Management,Introductory,Spanish,9139
 Successful Negotiation: Essential Strategies and Skills,4.6,26,69877,7,MichiganX,Business & Management,Introductory,English,4947
 College Algebra,4.6,9,11630,8,DoaneX,Math,Intermediate,English,9978
 Free Cash Flow Analysis,4.7,31,60409,5,ColumbiaX,Business & Management,Introductory,English,18865
 JavaScript Basics,4.5,12,,4,UCDavis,Computer Science,Introductory,English,4108
 Ancient Masterpieces of World Literature,4.8,30,76096,6,HarvardX,Literature,Introductory,English,17524
 Six Sigma Part 1: Define and Measure,4.6,86,131637,8,TUMx,Business & Management,Introductory,English,16716
 Business Communications - The Basics,4.3,35,11970,4,DoaneX,Communication,Introductory,English,12493
 Management - Becoming an Effective Leader,4.8,25,7748,8,DoaneX,Business & Management,Introductory,English,9978
 Supply Chain Planning and Strategy,4.4,88,21987,4,ISCEA,Business & Management,Introductory,English,20916
 Photoshop: una herramienta para presentaciones innovadoras,4.8,5,58180,5,JaverianaX,Art & Culture,Introductory,Spanish,1425
 Brand Management,4.5,12,19952,5,IIMBx,Business & Management,Introductory,English,15876
 From Code to Creation: Mastering Game Programming,4.2,28,,4,HP,Computer Science,Introductory,English,419
 Hinduism Through Its Scriptures,4.7,24,162406,4,HarvardX,Humanities,Introductory,English,12493
 Business and Data Analysis Skills,4.7,34,24562,3,FullbridgeX,Business & Management,Introductory,English,
 Relational Database Basics,4.5,45,9033,4,IBM,Data Analysis & Statistics,Introductory,English,8301
 Deep Learning with Python and PyTorch.,3.7,12,51899,6,IBM,Data Analysis & Statistics,Intermediate,English,8316
 Introduction to ChatGPT. Boost your productivity to the maximum using artificial intelligence!,4.5,31,,2,UPValenciaX,Computer Science,Introductory,English,2436
 Network Defense Essentials (NDE),4.4,18,,1,EC-Council,Computer Science,Intermediate,English,10816
 Accounting for Decision-Making,4,27,69047,7,IIMBx,Business & Management,Intermediate,English,12577
 The Einstein Revolution,4.5,10,44082,14,HarvardX,Humanities,Introductory,English,12493
 Global Health Case Studies from a Biosocial Perspective,5,5,23563,12,HarvardX,Social Sciences,Introductory,English,
 The Neuropsychology of Decision Making,4.3,23,7214,6,UniversityofCambridge,Social Sciences,Introductory,English,18396
 Case Studies in Functional Genomics,,,44781,5,HarvardX,Data Analysis & Statistics,Advanced,English,18362
 Transforming Our World: Achieving the Sustainable Development Goals,4.4,26,19078,1,SDGAcademyX,Environmental Studies,Intermediate,English,
 Soft Skills: Solve Problems w/ Creative & Critical Thinking,4.5,30,,1,IBM,Business & Management,Introductory,English,2432
 Comunicación efectiva para el líder actual,4.7,7,41317,4,TecdeMonterreyX,Communication,Introductory,Spanish,15876
 The Essentials of Data Literacy Online Course,4.4,25,10647,4,DavidsonX,Data Analysis & Statistics,Introductory,English,20878
 Blockchain: Understanding Its Uses and Implications,4.5,90,111057,14,LinuxFoundationX,Business & Management,Introductory,English,15847
 Marketing Innovative Products and Services,4.5,43,23578,4,UMD,Business & Management,Introductory,English,15847
 Excel básico para emprendedores,,,,3,URosarioX,Business & Management,Introductory,Spanish,4108
 Upper-Intermediate English: Business and Technology,4.5,10,70308,4,UPValenciaX,Language,Intermediate,English,3270
 Introduction to Engineering Design,4.7,10,,1,MathWorks,Engineering,Introductory,English,4956
" Introduction to Cloud Native, DevOps, Agile, and NoSQL",4.1,39,12172,2,IBM,Computer Science,Intermediate,English,4108
 Leading With Effective Communication (Inclusive Leadership Training),4.7,143,141409,4,CatalystX,Communication,Introductory,English,5785
 Fundamentals of Economics,,,,4,BerkeleyX,Economics & Finance,Introductory,English,8301
 AI for Leaders,4.4,28,18636,4,BabsonX,Business & Management,Introductory,English,20916
" Data Science for Construction, Architecture and Engineering",4.4,19,37554,7,NUS,Data Analysis & Statistics,Introductory,English,16685
 Building your Screenplay,4.3,9,22418,4,UniversityofCambridge,Communication,Intermediate,English,25070
 Astrophysics: Cosmology,4.9,29,100069,10,ANUx,Physics,Intermediate,English,4947
 Foundations of Modern Finance II,,,25979,12,MITx,Economics & Finance,Advanced,English,46031
 Building a RISC-V CPU Core,4.6,17,12791,7,LinuxFoundationX,Computer Science,Introductory,English,15847
 Introduction to Analytics Modeling,4.8,13,83033,16,GTx,Data Analysis & Statistics,Advanced,English,69173
 Deploying TinyML,4.6,14,22895,5,HarvardX,Data Analysis & Statistics,Intermediate,English,25070
 How to Code: Simple Data,4.2,13,162217,7,UBCx,Computer Science,Introductory,English,10481
 Mathematics 1 Part 1: Differential Calculus,4.4,16,8486,5,LSE,Math,Intermediate,English,16702
 Customer Relationship Management,4.7,24,72695,6,IIMBx,Business & Management,Intermediate,English,15847
 Computer Forensics,4.5,11,89062,8,RITx,Computer Science,Advanced,English,33454
 Marketing Essentials,4.6,16,29747,5,IIMBx,Business & Management,Introductory,English,15847
 Applications of TinyML,4.4,16,23700,6,HarvardX,Data Analysis & Statistics,Intermediate,English,25070
 Excel for Everyone: Data Management,4.6,20,41814,6,UBCx,Data Analysis & Statistics,Intermediate,English,15847
 Deep Learning Fundamentals with Keras,4.4,25,49091,5,IBM,Data Analysis & Statistics,Intermediate,English,8301
 Introduction to Robotic Programming,4.9,7,,8,RWTHx,Computer Science,Introductory,English,8301
 Introduction to Bioconductor,4.8,6,53001,4,HarvardX,Data Analysis & Statistics,Intermediate,English,18362
 3D Printing Essentials: From Design to Reality,4.4,35,,3,AlaskaX,Design,Introductory,English,4108
 Inglés para todos: nivel básico más,,,,1,URosarioX,Language,Introductory,English,4108
 Strengthening Community Health Worker Programs,4.7,24,85383,6,HarvardX,Health & Safety,Introductory,English,
 Technical Support Basics for Everyone,4.7,33,5476,5,IBM,Computer Science,Introductory,English,4116
" U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",4.9,35,44342,4,HarvardX,Social Sciences,Introductory,English,12493
 How to Use ChatGPT in Tech/Coding/Data,3.9,22,,1,edX,Computer Science,Intermediate,English,1677
 Foundations of Data Analytics,4.4,8,6281,8,HKUSTx,Computer Science,Intermediate,English,31778
 Understanding the TOEFL Essentials Test,4.5,22,24955,6,ETSx,Communication,Introductory,English,4108
 La Dirección y Gestión de Proyectos,4.5,13,8736,5,UNCordobaX,Business & Management,Intermediate,Spanish,3773
 Databases: Modeling and Theory,,,19935,2,StanfordOnline,Computer Science,Introductory,English,5796
 Agile Leadership Principles and Practices,4.8,55,51200,4,UMD,Engineering,Advanced,English,20878
" Language, Proof and Logic",,,28205,15,StanfordOnline,Philosophy & Ethics,Introductory,English,8301
 Penetration Testing and Incident Response,4.3,6,,4,IBM,Computer Science,Introductory,English,12493
" Software, Programming, and Database Basics",4.5,9,,5,IBM,Computer Science,Introductory,English,4108
 Financial Accounting Made Fun: Eliminating Your Fears,4.5,28,54692,4,BabsonX,Business & Management,Introductory,English,20916
 UX Design,,,33308,6,HECMontrealX,Design,Intermediate,English,30939
 Finanzas e inversiones para no financieros,,,5626,4,URosarioX,Economics & Finance,Introductory,Spanish,3276
 Academic Writing Made Easy,,,64802,8,TUMx,Language,Intermediate,English,4947
 Practical Improvement Science in Health Care: A Roadmap for Getting Results,4.9,12,19463,7,HarvardX,Business & Management,Introductory,English,20878
 Transformando la educación con IA: ChatGPT,4.7,37,12359,4,GalileoX,Education & Teacher Training,Introductory,Spanish,2436
" Women Making History: Ten Objects, Many Stories",4.6,22,69014,8,HarvardX,History,Introductory,English,17524
 Data Science Tools,4.4,42,34926,7,IBM,Data Analysis & Statistics,Introductory,English,8301
 Computer Architecture Essentials on Arm,4.2,9,,6,ArmEducationX,Computer Science,Intermediate,English,8301
 Academic English: How to Write a Thesis,4.8,8,6854,10,UQx,Education & Teacher Training,Introductory,English,10816
 The Industry and Profession in Construction Management,4.6,30,7995,4,UMD,Engineering,Intermediate,English,20878
 Marketing Digital: Desde SEO hasta Analítica de Datos,3.6,5,,5,AnahuacX,Business & Management,Introductory,Spanish,4108
 Visual Presentation,4.6,24,13549,3,RITx,Communication,Introductory,English,16685
 Circuits for Beginners,4.6,15,10529,6,NUS,Engineering,Introductory,English,11676
 Digital Forensics Essentials (DFE),4.7,13,,1,EC-Council,Computer Science,Intermediate,English,10816
" Principles, Statistical and Computational Tools for Reproducible Data Science",4.1,11,108207,8,HarvardX,Data Analysis & Statistics,Intermediate,English,12493
 Advanced Corporate Strategy,4.5,8,8158,5,IIMBx,Business & Management,Advanced,English,15847
 Fundamentals of Red Hat Enterprise Linux 9,4.7,23,76201,8,RedHat,Computer Science,Introductory,English,8316
 C Programming: Language Foundations,4.6,15,70359,5,DartmouthX,Computer Science,Introductory,English,8301
 Introducción a Matemáticas para Finanzas y Negocios,,,22375,5,TecdeMonterreyX,Economics & Finance,Advanced,Spanish,4947
 Cell Biology: Transport and Signaling,5,7,11778,6,MITx,Biology & Life Sciences,Advanced,English,8301
 Teaching Critical Thinking through Art with the National Gallery of Art,4.9,29,34233,16,SmithsonianX,Education & Teacher Training,Introductory,English,9996
 Introduction to Astrophysics,3.8,8,42431,7,EPFLx,Physics,Introductory,English,15008
" A-level Further Mathematics for Year 13 - Course 1: Differential Equations, Further Integration, Curve Sketching, Complex Numbers, the Vector Product and Further Matrices",4.8,5,,7,ImperialX,Math,Intermediate,English,5785
 Italian Language and Culture: Advanced (2023-2024),4.7,47,40768,12,WellesleyX,Language,Advanced,Italian,4956
 Public Financial Management,4.8,66,43869,8,IMFx,Economics & Finance,Intermediate,English,2096
 Macroeconomics: Theory and Policy,4.3,21,,6,IIMBx,Economics & Finance,Intermediate,English,15847
 Financial Analysis for Decision Making,4.6,21,51941,4,BabsonX,Business & Management,Introductory,English,20916
 Developing Your Personal Leadership Style,4.4,20,6175,4,IUx,Business & Management,Introductory,English,16685
 Basic Spanish 3: Getting there,4.4,42,40068,4,UPValenciaX,Language,Introductory,English,3270
 The Opioid Crisis in America,4.8,26,76188,10,HarvardX,Medicine,Introductory,English,12493
 Deep Learning with Tensorflow,4.4,14,52938,5,IBM,Data Analysis & Statistics,Intermediate,English,8301
 Intellectual Property Law and Policy: Part 1,4.4,14,62458,6,PennX,Law,Intermediate,English,14196
 New Product Development,,,16916,6,IIMBx,Business & Management,Introductory,English,15847
" DevOps on AWS: Code, Build, and Test",4.3,17,7613,2,AWS,Computer Science,Intermediate,English,4947
 Psicología Criminal,4.7,11,,4,AnahuacX,Social Sciences,Introductory,Spanish,4108
 Introducción al desarrollo de aplicaciones web,3.5,5,63567,5,UAMx,Computer Science,Introductory,Spanish,2432
 Risk Management for Projects,4.6,75,37938,5,AdelaideX,Business & Management,Introductory,English,20916
" Inglés empresarial: ventas, gestión y liderazgo",4.8,14,41083,4,AnahuacX,Business & Management,Introductory,Spanish,3270
 Quantitative Biology Workshop,4.3,8,27413,9,MITx,Biology & Life Sciences,Intermediate,English,8301
 Sustainable Energy: Design a Renewable Future,4.2,22,40290,9,DelftX,Engineering,Intermediate,English,5198
 Introduction to FinTech,4.6,38,118905,6,HKUx,Economics & Finance,Introductory,English,16685
 Industrial Biotechnology,4.6,9,20603,7,DelftX,Engineering,Intermediate,English,12516
 Computing in Python II: Control Structures,4.8,36,53281,5,GTx,Computer Science,Introductory,English,15847
 Inteligencia emocional para el liderazgo efectivo y colaboración,4.4,33,46464,4,AnahuacX,Social Sciences,Introductory,Spanish,3270
 IoT Systems and Industrial Applications with Design Thinking,4.4,22,,7,EPFLx,Engineering,Intermediate,English,14170
 Data Representation and Visualization in Tableau,4.1,17,16194,4,RITx,Data Analysis & Statistics,Intermediate,English,20878
 Introduction to Jenkins,4.1,9,24500,12,LinuxFoundationX,Computer Science,Introductory,English,15847
 Upper-Intermediate English: Business and Globalization,4.8,11,82476,4,UPValenciaX,Language,Intermediate,English,3270
 Solar Energy: Photovoltaic (PV) Systems,4.8,5,36923,11,DelftX,Engineering,Advanced,English,20961
 MalariaX: Defeating Malaria from the Genes to the Globe,4.6,14,10834,11,HarvardX,Biology & Life Sciences,Intermediate,English,
 Religious Literacy: Traditions and Scriptures,4.6,33,118302,4,HarvardX,Humanities,Introductory,English,12493
 Models and Platforms for Generative AI,4.6,5,,3,IBM,Computer Science,Introductory,English,4108
 Electric Cars: Introduction,4.4,37,81477,4,DelftX,Engineering,Intermediate,English,10397
 Lean Production,4.7,80,75614,6,TUMx,Business & Management,Introductory,English,15847
 Cell Biology: The Cytoskeleton and Cell Cycle,,,6348,7,MITx,Biology & Life Sciences,Advanced,English,8301
 Fundamentos del marketing digital,4.3,18,11944,3,UPValenciaX,Business & Management,Introductory,Spanish,3773
 ChatGPT - Usos y Estrategias,,,,4,TecdeMonterreyX,Computer Science,Introductory,Spanish,4200
 Design Thinking Fundamentals,4.5,9,79976,6,RITx,Business & Management,Intermediate,English,28256
 Maths Foundations,,,,4,AdelaideX,Math,Introductory,English,8316
 Python Programming: Intermediate Concepts,4.6,17,,5,Codio,Computer Science,Introductory,English,15847
 Academia de Empreendedorismo,,,,7,UNL,Business & Management,Introductory,Portuguese,4612
 Herramientas de Inteligencia Artificial para la productividad. Más allá del ChatGPT,,,,4,UPValenciaX,Engineering,Intermediate,Spanish,4108
 Abnormal Psychology,4.6,8,11242,8,DoaneX,Humanities,Intermediate,English,9996
 Entropy and Equilibria,4.3,6,5580,10,HarvardX,Chemistry,Introductory,English,20878
 Introducción a las finanzas: Principios de valoración,,,35704,4,URosarioX,Economics & Finance,Intermediate,Spanish,1593
 Introduction to Hospitality and Tourism Industry,4.5,34,22247,6,UMES,Business & Management,Introductory,English,4116
 Your Body Inside and Out: Using Exercise Physiology to Slow Aging,4.8,15,9286,8,StanfordOnline,Biology & Life Sciences,Introductory,English,5785
 Digital Design,,,29878,5,HKUSTx,Design,Introductory,English,4947
 Introducción a la ciberseguridad,,,15346,4,URosarioX,Computer Science,Intermediate,Spanish,4116
 Risk Management Tools and Practices,4.5,63,,4,NYIF,Economics & Finance,Intermediate,English,
 AP® Italian Language and Culture (2024-2025),4.6,8,,12,WellesleyX,Humanities,Advanced,Italian,4947
 The Resilient and Renewable Grid: How Microgrids are Revolutionizing Energy Systems,4.3,35,,4,AlaskaX,Engineering,Introductory,English,20916
 Nutrition and Cancer,4.7,41,44218,5,WageningenX,Food & Nutrition,Intermediate,English,15847
 Pensamiento crítico: toma de decisiones razonadas,,,29780,4,TecdeMonterreyX,Business & Management,Introductory,Spanish,15847
 Introducción a la inversión bursátil,4.2,20,103260,2,UPValenciaX,Economics & Finance,Introductory,Spanish,3276
 Power Searching with Google,4.6,9,27222,3,Google,Computer Science,Introductory,English,18362
 Comunicación y Redacción Digital,4.7,11,30070,4,AnahuacX,Communication,Introductory,Spanish,1593
 Biotech — From Science to Business,4.8,15,,4,TUMx,Business & Management,Introductory,English,12516
" Data Ethics, AI and Responsible Innovation",4.4,13,13116,5,EdinburghX,Computer Science,Intermediate,English,4947
 Computing in Python III: Data Structures,4.4,29,45413,5,GTx,Computer Science,Introductory,English,15847
 Introducción a la inteligencia emocional,4.8,27,40402,4,AnahuacX,Social Sciences,Introductory,Spanish,3270
 Marketing enfocado en la estrategia de servicios,4.4,5,42420,6,UNCordobaX,Business & Management,Introductory,Spanish,9156
 Inteligencia Artificial para negocios,4.2,5,,5,TecdeMonterreyX,Computer Science,Intermediate,Spanish,10816
 Effective Management and Communication,4.6,48,,4,IUx,Business & Management,Introductory,English,16685
 A Better Start to Reading,4.7,10,13441,6,UCx,Education & Teacher Training,Introductory,English,15876
 Networking and Storage Essentials,4.5,11,,4,IBM,Computer Science,Introductory,English,4108
 Getting Started with Your Raspberry Pi,4.4,9,,3,RaspberryPiFoundation,Education & Teacher Training,Introductory,English,4947
 Preparación de alimentos saludables,,,,5,AnahuacX,Food & Nutrition,Introductory,Spanish,1593
 C++ Programming: Object-Oriented Design,,,,5,Codio,Computer Science,Introductory,English,15847
 Introduction to Machine Learning on AWS,4.5,12,,2,AWS,Computer Science,Introductory,English,4947
 Big Data Computing with Spark,,,,8,HKUSTx,Computer Science,Intermediate,English,31778
 Data Structures Fundamentals,,,54432,6,UCSanDiegoX,Computer Science,Intermediate,English,12577
 An Introduction to Pre-University Mathematics,,,,6,LSE,Math,Introductory,English,16716
 An Introduction to Web Development,4.5,8,,3,RaspberryPiFoundation,Education & Teacher Training,Intermediate,English,4947
 How to Influence the Consumer Behavior to Drive Sales by Jonah Berger,4.3,18,,2,WOBI,Business & Management,Intermediate,English,25908
 Self-Driving Cars with Duckietown,,,12288,9,ETHx,Computer Science,Introductory,English,4192
 Sustainable Construction Management,4.6,31,5575,4,UMD,Engineering,Intermediate,English,20878
 Façade design and engineering: complexity made simple,4.6,34,7335,6,DelftX,Architecture,Introductory,English,11655
 Incorporating Renewable Energy in Electricity Grids,4.6,37,20429,6,ImperialX,Energy & Earth Sciences,Intermediate,English,4956
 On-Ramp to AP® French Language and Culture,,,114745,3,WestonHS,Humanities,Advanced,French,2432
 Python Programming: Object-Oriented Design,4.7,12,,5,Codio,Computer Science,Introductory,English,15876
 PyTorch Basics for Machine Learning,3.5,22,15228,5,IBM,Data Analysis & Statistics,Introductory,English,3270
 Developing Generative AI Applications with Python,,,,6,IBM,Computer Science,Intermediate,English,8301
 Soft Skills: Collaborate Effectively,4.6,6,,1,IBM,Communication,Introductory,English,2432
 Physics Fundamentals: Electromagnetics,4.5,27,,7,UPValenciaX,Physics,Introductory,English,2432
 Soft Skills: Present with Purpose,4.4,24,,1,IBM,Communication,Introductory,English,2432
 Computing in Python IV: Objects & Algorithms,4.7,29,46635,5,GTx,Computer Science,Introductory,English,15876
 Data Mining and Knowledge Discovery,4.8,5,,8,HKUSTx,Computer Science,Intermediate,English,36808
 Intro Course: Spreadsheets and Statistics,4.5,6,,4,edX,Data Analysis & Statistics,Introductory,English,8301
 Introducción a SQL y bases de datos relacionales,4.5,24,13206,5,UPValenciaX,Computer Science,Introductory,Spanish,3270
 Basic Analytical Chemistry,3.4,6,35598,6,UTokyoX,Chemistry,Introductory,English,4947
 Semiconductors for Beginners,4.8,13,5554,3,NUS,Engineering,Introductory,English,11655
 Creative Thinking: Techniques and Tools for Success,4.4,47,80107,7,ImperialX,Humanities,Introductory,English,4947
 The Entrepreneurial Mindset,4.3,17,42752,6,BabsonX,Business & Management,Introductory,English,15847
 Autonomous Mobile Robots,4.6,7,73184,15,ETHx,Computer Science,Intermediate,English,4192
 Network Security,4.8,10,69946,8,RITx,Computer Science,Advanced,English,33516
 Introduction to Psychological Aspects of Game Design,,,,5,LCIEducation,Computer Science,Introductory,English,15008
" European History, Society and Culture",4.5,25,,8,KULeuvenX,History,Intermediate,English,4947
 Business Communication,4.5,35,17232,3,RITx,Communication,Introductory,English,16685
 Genetics: Analysis and Applications,5,12,,8,MITx,Biology & Life Sciences,Advanced,English,8301
 Líderes para la gestión en seguridad ciudadana y justicia,4.8,31,,10,IDBx,Social Sciences,Intermediate,Spanish,2100
 Gerencia estratégica: bases y principios,4.7,13,7294,4,JaverianaX,Business & Management,Introductory,Spanish,3773
 Becoming a Successful Leader (Inclusive Leadership Training),4.6,138,235283,4,CatalystX,Communication,Introductory,English,5785
 Finding Purpose Across Your Life,,,,6,BerkeleyX,Social Sciences,Introductory,English,12493
 FlashDiet: Aprende a comer sano,,,80791,5,UPValenciaX,Food & Nutrition,Introductory,Spanish,3270
 Visualización de Datos y Storytelling,4.2,10,18147,4,TecdeMonterreyX,Data Analysis & Statistics,Intermediate,Spanish,4947
 Data Warehousing and BI Analytics,4.4,19,6142,6,IBM,Computer Science,Intermediate,English,8316
 Computer Graphics,,,119028,6,UCSanDiegoX,Computer Science,Intermediate,English,8301
 Molecular Biology - Part 2: Transcription and Transposition,,,27985,7,MITx,Biology & Life Sciences,Advanced,English,8301
 Managing Conflicts on Projects with Cultural and Emotional Intelligence,4.7,59,14702,5,UMD,Business & Management,Introductory,English,20878
 Reservoir Geomechanics,4.9,19,17783,10,StanfordOnline,Energy & Earth Sciences,Introductory,English,13356
 Foundations of Corporate Finance,4.6,19,5422,5,UniversityofCambridge,Economics & Finance,Intermediate,English,25070
 Introduction to Electrical and Electronic Engineering - ???????? -,4.3,8,36465,4,TokyoTechX,Engineering,Introductory,English,10816
 Teaching Complex Thinking through Art with the National Gallery of Art,5,6,,16,SmithsonianX,Education & Teacher Training,Introductory,English,9978
 Guided Project: Web Development w/ HTML & CSS for Beginners,,,,1,IBM,Computer Science,Introductory,English,41916
 Gestion de projets de développement,4.5,41,63508,10,IDBx,Business & Management,Intermediate,French,2096
 A travel by Spanish America: Spanish for beginners,,,28933,4,URosarioX,Language,Introductory,Spanish,3270
" Food for Thought: The Relationship Between Food, Gut and Brain",4.8,5,,5,EIT_Food,Food & Nutrition,Intermediate,English,10816
 Teaching & Learning in the Diverse Classroom,4.6,36,21077,5,CornellX,Education & Teacher Training,Introductory,English,8316
 Introduction to Encryption and Cryptography,4.5,5,,2,RaspberryPiFoundation,Education & Teacher Training,Intermediate,English,4947
 Let’s Get Emotional:  Emotions & Emotional Intelligence!,4.3,19,9851,5,UMD,Business & Management,Introductory,English,20878
